# Filename : results\simulations\PINN_Dynamics_PositionUncertainty.txt
# Version  : PINN_Matrix_Solver_v2.3_Final
# Start    : Sat Dec  6 00:33:51 2025
# (1) time	(2) <x>	(3) <x>-dx	(4) <x>+dx
# ================================================================================
8.8628762542	1.2046621379	0.4275937861	1.9817304897
8.8963210702	1.3015966348	0.5181986773	2.0849945923
8.9297658863	1.4029722404	0.6196079566	2.1863365242
8.9632107023	1.5061820917	0.7290483220	2.2833158613
8.9966555184	1.6087645042	0.8431644986	2.3743645098
9.0301003344	1.7084908907	0.9582288631	2.4587529183
9.0635451505	1.8034337247	1.0703888151	2.5364786343
9.0969899666	1.8920113324	1.1759534158	2.6080692490
9.1304347826	1.9730079751	1.2717110968	2.6743048534
9.1638795987	2.0455694466	1.3552442825	2.7358946107
9.1973244147	2.1091761233	1.4251733419	2.7931789046
9.2307692308	2.1635969521	1.4812481177	2.8459457865
9.2642140468	2.2088291346	1.5242375561	2.8934207131
9.2976588629	2.2450291700	1.5556392240	2.9344191161
9.3311036789	2.2724414012	1.5772936020	2.9675892004
9.3645484950	2.2913302254	1.5910020237	2.9916584271
9.3979933110	2.3019216945	1.5982162946	3.0056270945
9.4314381271	2.3043593695	1.5998261987	3.0088925403
9.4648829431	2.2986780689	1.5960442035	3.0013119344
9.4983277592	2.2847976699	1.5863795182	2.9832158216
9.5317725753	2.2625374659	1.5696989335	2.9553759983
9.5652173913	2.2316499070	1.5443799918	2.9189198222
9.5986622074	2.1918709475	1.5085634994	2.8751783956
9.6321070234	2.1429828336	1.4604978424	2.8254678248
9.6655518395	2.0848840765	1.3989330307	2.7708351223
9.6989966555	2.0176606583	1.3234807457	2.7118405709
9.7324414716	1.9416522595	1.2348404112	2.6484641078
9.7658862876	1.8575075035	1.1348271656	2.5801878415
9.7993311037	1.7662228667	1.0262105687	2.5062351647
9.8327759197	1.6691609651	0.9124326013	2.4258893289
9.8662207358	1.5680453228	0.7972855078	2.3388051378
9.8996655518	1.4649303548	0.6846041927	2.2452565170
9.9331103679	1.3621470452	0.5779951745	2.1462989159
9.9665551839	1.2622265437	0.4806045095	2.0438485779
10.0000000000	1.1678055202	0.3949232335	1.9406878070
